"areaID","synonym","name","stateID","notes","regionID","id","kew_regionID"
146,"","Aoga-shima",287,"",24,133,17
123,"","Arab Emirates",234,"",21,134,1
"","Region 35 Arabian Peninsula","Arabia","","",21,135,1
118,"","Aranuka",227,"",31,136,5
3,"","Argentina Northeast","","",50,137,29
5,"","Argentina Northwest","","",50,138,29
4,"","Argentina South","","",50,139,29
292,"","Aride I.",493,"",15,140,22
16,"","Arizona",38,"",41,141,3
17,"","Arkansas",39,"",43,142,3
276,"","Arkhangelsk",476,"",5,143,2
159,"","Armathia",303,"",4,144,2
317,"Armeniya","Armenia",527,"",19,145,1
118,"","Arorae",227,"",31,146,5
239,"","Aru Is.",436,"",27,147,26
99,"","Arunachal Pradesh",200,"",25,148,12
123,"","Ash Shariquah",234,"",21,149,1
351,"","Ashmore Reef",571,"",29,150,9
239,"","Asia Is.",436,"",27,151,26
22,"","Assam",44,"",25,152,12
8,"","Assumption I.",29,"",15,153,22
122,"","Astakidha",231,"",4,154,2
122,"","Astipalaia",231,"one of Kikladhes",4,155,2
8,"","Astove I.",29,"",15,156,22
277,"","Astrakhan",477,"",5,157,2
198,"","Asuncion",358,"",33,158,28
325,"","Ata",541,"",31,159,5
68,"","Atacama",159,"",50,160,29
324,"","Atafu",540,"",31,161,5
76,"","Atiu",171,"",32,162,25
46,"","Atol das Rocas",87,"",49,163,21
23,"","Auckland I.",50,"",30,164,10
281,"","Aunuu",481,"",31,165,5
328,"Tubuai Is.","Austral Is.",544,"",32,166,25
234,"","Australian Capital Territory",430,"",29,167,9
76,"","Avarau",171,"",32,168,25
171,"","Aves I.",318,"[West Indies]",46,169,7
346,"","Aves, Islas Las",566,"[off Venezuela]",46,170,16
122,"","Avgo",231,"[off Kithira]",4,171,2
159,"","Avgo",303,"[off Kriti]",4,172,2
122,"","Ayios Evstratios",231,"",4,173,2
239,"","Ayu Is.",436,"",27,174,26
362,"","Az Zuqur I.",591,"",21,175,1
317,"","Azerbaydzhan",528,"excluding Nagorno Karabakh and Nakhichevan",19,176,1
175,"","Babar Is.",332,"",27,177,19
299,"","Babase I.",501,"one of Feni Is.",31,178,20
82,"","Babelthaup",182,"part of Belau Is.",33,179,28
268,"","Badu I.",468,"",29,180,9
243,"","Baffin I.",441,"",35,181,3
254,"","Bahawalpur",452,"",25,182,12
46,"","Bahia",85,"",49,183,21
309,"","Bahia Is.",516,"[Honduras]",46,184,13
112,"","Bahia Isabel",218,"",48,185,16
182,"Bassas da India","Baiko Dajudia",339,"",15,186,22
209,"","Baja California",385,"",44,187,13
209,"","Baja California Sur",386,"",44,188,13
309,"","Baja Nuevo",515,"",46,189,7
129,"","Baker I.",243,"",31,190,5
261,"","Balabac",460,"",27,191,31
27,"","Baleares",55,"I. Province of Spain",3,192,2
175,"","Bali",330,"",27,193,19
224,"","Ball's Pyramid",417,"",29,194,9
15,"","Balleny Is.",37,"part of Ross Dependency",52,195,10
35,"","Baltic States","","",5,196,2
353,"","Baltistan",575,"",25,197,12
254,"","Baluchistan",452,"",25,198,1
118,"","Banaba",227,"",31,199,5
193,"","Banda Is.",351,"",27,200,19
