id,hybrid,genus,author,synonym_id,family_id
"8343","","Isaloa","Humbert","8829","1"
"20516","","Isochoriste","Miq.","8825","1"
"8937","","Isoglossa","Oerst.","","1"
"8938","","Isotheca","Turrill","","1"
"8939","","Ixtlania","M.E.Jones","8942","1"
"16183","","Jacobinia","Nees ex Moric.","8942","1"
"8940","","Jadunia","Lindau","","1"
"8941","","Juruasia","Lindau","","1"
"8942","","Justicia","L.","","1"
"22086","","Kalbreyeracanthus","Wassh.","8920","1"
"8943","","Kalbreyeriella","Lindau","","1"
"25186","","Kanjarum","Ramam.","9075","1"
"24989","","Kita","A.Chev.","8933","1"
"24990","","Kjellbergia","Bremek.","9075","1"
"8944","","Kolobochilus","Lindau","","1"
"8945","","Kosmosiphon","Lindau","","1"
"8946","","Kudoacanthus","Hosok.","","1"
"24988","","Kuestera","Regel","8942","1"
"24926","","Lagochilium","Nees","8822","1"
"8947","","Lamiacanthus","Kuntze","9075","1"
"8948","","Lankesteria","Lindl.","","1"
"25187","","Larsenia","Bremek.","9075","1"
"8949","","Lasiocladus","Bojer ex Nees","","1"
"8950","","Leandriella","Benoist","","1"
"8951","","Leda","C.B.Clarke","8937","1"
"25188","","Leiophaca","Lindau","9106","1"
"24991","","Lepidacanthus","C.Presl","8822","1"
"8952","","Lepidagathis","Willd.","","1"
"8953","","Leptacanthus","Nees","9075","1"
"8954","","Leptosiphonium","F.Muell.","","1"
"17531","","Leptostachya","Nees","","1"
"24992","","Leucobarleria","Lindau","8983","1"
"24910","","Leucoraphis","Nees","8839","1"
"24993","","Liberatia","Rizzini","8959","1"
"24994","","Libonia","K.Koch","8942","1"
"8955","","Linariantha","B.L.Burtt & R.M.Sm.","","1"
"8956","","Lindauea","Rendle","","1"
"24996","","Linocalyx","Lindau","8942","1"
"15975","","Lirayea","Pierre","8972","1"
"8957","","Lissospermum","Bremek.","9075","1"
"8958","","Listrobanthes","Bremek.","9075","1"
"8959","","Lophostachys","Pohl","","1"
"24995","","Lophothecium","Rizzini","8942","1"
"8960","","Louteridium","S.Watson","","1"
"20526","","Lundellia","Leonard","8930","1"
"24997","","Lustrinia","Raf.","8942","1"
"8961","","Lychniothyrsus","Lindau","","1"
"8962","","Mackaya","Harv.","","1"
"8963","","Mackenziea","Nees","9075","1"
"8964","","Macrorungia","C.B.Clarke","8818","1"
"8966","","Mananthes","Bremek.","8942","1"
"17729","","Marcania","J.B.Imlay","","1"
"8967","","Megalochlamys","Lindau","","1"
"8968","","Megalostoma","Leonard","","1"
"8969","","Megaskepasma","Lindau","","1"
"8970","","Melittacanthus","S.Moore","","1"
"8971","","Mellera","S.Moore","","1"
"8972","","Mendoncia","Vell. ex Vand.","","1"
"14200","","Metarungia","Baden","","1"
"14245","","Mexacanthus","T.F.Daniel","","1"
"8973","","Meyenia","Nees","","1"
"20979","","Micranthus","J.C.Wendl.","9007","1"
"8974","","Microstrobilus","Bremek.","9075","1"
"8975","","Mimulopsis","Schweinf.","","1"
"8976","","Mirandea","Rzed.","","1"
"15976","","Monachochlamys","Baker","8972","1"
"8977","","Monechma","Hochst.","","1"
"8978","","Monothecium","Hochst.","","1"
"8979","","Morsacanthus","Rizzini","","1"
"8980","","Nelsonia","R.Br.","","1"
"8981","","Neohallia","Hemsl.","","1"
"25189","","Neolindenia","Baill.","8960","1"
"8384","","Neozenkerina","Mildbr.","9064","1"
"8982","","Neriacanthus","Benth.","","1"
"8983","","Neuracanthus","Nees","","1"
"24998","","Nicoteba","Lindau","8942","1"
"8984","","Nilgirianthus","Bremek.","9075","1"
"8985","","Nomaphila","Blume","8933","1"
"24999","","Nothoruellia","Bremek.","9037","1"
"8986","","Odontonema","Nees","","1"
"17508","","Odontonemella","Lindau","8962","1"
"25194","","Odontophyllum","Sreem.","8822","1"
"24915","","Odontostigma","Zoll. & Moritzi","8918","1"
"20500","","Onus","Gilli","8971","1"
"24927","","Onychacanthus","Nees","8838","1"
"8987","","Ophiorrhiziphyllon","Kurz","","1"
"8988","","Oplonia","Raf.","","1"
"8989","","Oreacanthus","Benth.","","1"
"8990","","Oreothyrsus","Lindau","9028","1"
"8991","","Orophochilus","Lindau","","1"
"20535","","Orthotactus","Nees","8942","1"
"8992","","Pachystachys","Nees","","1"
"8993","","Pachystrobilus","Bremek.","9075","1"
"25000","","Parabarleria","Baill.","8829","1"
"8994","","Parachampionella","Bremek.","9075","1"
"8995","","Paragoldfussia","Bremek.","9075","1"
"25503","","Paragutzlaffia","H.P.Tsui","9075","1"
"25001","","Parajusticia","Benoist","8942","1"
"8996","","Pararuellia","Bremek.","","1"
"8997","","Parastrobilanthes","Bremek.","9075","1"
"8998","","Parasympagis","Bremek.","9075","1"
"25002","","Parasystasia","Baill.","8825","1"
"17370","","Paulowilhelmia","Hochst.","8905","1"
"8999","","Pelecostemon","Leonard","","1"
"9000","","Pentstemonacanthus","Nees","","1"
"9001","","Perenideboles","Ram.Goyena","","1"
"17375","","Periblema","DC.","8836","1"
"9002","","Pericalypta","Benoist","","1"
"9003","","Periestes","Baill.","8935","1"
"9004","","Perilepta","Bremek.","9075","1"
"9005","","Peristrophe","Nees","","1"
"25003","","Petalanthera","Raf.","8942","1"
"9006","","Petalidium","Nees","","1"
"24916","","Petracanthus","Nees","8918","1"
"9007","","Phaulopsis","Willd.","","1"
"16184","","Phaylopsis","Willd.","9007","1"
"9008","","Phialacanthus","Benth.","","1"
"25190","","Phidiasia","Urb.","8986","1"
"20497","","Phillipsia","Rolfe","8895","1"
"9009","","Phlebophyllum","Nees","9075","1"
"9010","","Phlogacanthus","Nees","","1"
"9011","","Physacanthus","Benth.","","1"
"23579","","Plaesianthera","(C.B.Clarke) Livera","8839","1"
"25004","","Plagiacanthus","Nees","8942","1"
"24419","","Plagiotheca","Chiov.","8937","1"
"9012","","Plegmatolemma","Bremek.","8942","1"
"9013","","Pleocaulus","Bremek.","9075","1"
"18164","","Pleuroblepharis","Baill.","8872","1"
"9014","","Podorungia","Baill.","","1"
"24922","","Pogonospermum","Hochst.","8977","1"
"9015","","Poikilacanthus","Lindau","","1"
"9016","","Polylychnis","Bremek.","","1"
"23240","","Polythrix","Nees","8872","1"
"9017","","Polytrema","C.B.Clarke","9028","1"
"17373","","Populina","Baill.","","1"
"24928","","Porphyrocoma","Scheidw. ex Hook.","8942","1"
"24923","","Pounguia","Benoist","9106","1"
"16171","","Pranceacanthus","Wassh.","","1"
"20525","","Pringleophytum","A.Gray","8930","1"
"20513","","Prionitis","Oerst.","8829","1"
"24920","","Psacadocalymma","Bremek.","8942","1"
"9018","","Psacadopaepale","Bremek.","9075","1"
"25191","","Pseudacanthopale","Benoist","9076","1"
"9019","","Pseudaechmanthera","Bremek.","9075","1"
"9020","","Pseuderanthemum","Radlk.","","1"
"20508","","Pseudo-Barleria","Oerst.","8829","1"
"20502","","Pseudobarleria","T.Anderson","9006","1"
"20507","","Pseudoblepharis","Baill.","9052","1"
"9021","","Pseudocalyx","Radlk.","","1"
"9022","","Pseudodicliptera","Benoist","","1"
"9023","","Pseudoruellia","Benoist","","1"
"9024","","Pseudostenosiphonium","Lindau","9075","1"
"9025","","Psilanthele","Lindau","","1"
"25005","","Psiloesthes","Benoist","9005","1"
"9026","","Pteracanthus","(Nees) Bremek.","9075","1"
"9027","","Pteroptychia","Bremek.","9075","1"
"9028","","Ptyssiglottis","T.Anderson","","1"
"14268","","Pulchranthus","V.M.Baum, Reveal & Nowicke","","1"
"25006","","Pupilla","Rizzini","8942","1"
"9029","","Pyrrothrix","Bremek.","9075","1"
"25007","","Ramusia","Nees","9005","1"
"9030","","Razisea","Oerst.","","1"
"9031","","Rhacodiscus","Lindau","8942","1"
"9032","","Rhaphidospora","Nees","8942","1"
"9033","","Rhinacanthus","Nees","","1"
"25008","","Rhiphidosperma","G.Don","8942","1"
"9034","","Rhombochlamys","Lindau","","1"
"17746","","Rhyticalymma","Bremek.","8942","1"
"24919","","Rhytiglossa","Nees ex Lindl.","8937","1"
"9035","","Ritonia","Benoist","","1"
"25009","","Rodatia","Raf.","8942","1"
"20984","","Rostellaria","Nees","8942","1"
"9036","","Rostellularia","Rchb.","8942","1"
"9037","","Ruellia","L.","","1"
"24909","","Ruelliola","Baill.","8839","1"
"9038","","Ruelliopsis","C.B.Clarke","","1"
"9039","","Rungia","Nees","","1"
"9040","","Ruspolia","Lindau","","1"
"9041","","Ruttya","Harv.","","1"
"25010","","Saglorithys","Rizzini","8942","1"
"24307","","Saintpauliopsis","Staner","","1"
"25480","","Salpinctium","T.J.Edwards","8825","1"
"20524","","Salpingantha","Lem.","9042","1"
"20523","","Salpinxantha","Urb.","9042","1"
"9042","","Salpixantha","Hook.","","1"
"20536","","Salviacanthus","Lindau","8942","1"
"9043","","Samuelssonia","Urb. & Ekman","","1"
"9044","","Sanchezia","Ruiz & Pav.","","1"
"16185","","Santapaua","N.P.Balakr. & Subr.","8933","1"
"9045","","Sapphoa","Urb.","","1"
"24921","","Sarojusticia","Bremek.","8942","1"
"20980","","Sarotheca","Nees","8942","1"
"9046","","Satanocrater","Schweinf.","","1"
"9047","","Sautiera","Decne.","","1"
"9048","","Schaueria","Nees","","1"
"9049","","Schliebenia","Mildbr.","8937","1"
"20537","","Schwabea","Endl.","8977","1"
"9050","","Sciaphyllum","Bremek.","","1"
"9051","","Sclerocalyx","Nees","9037","1"
"9052","","Sclerochiton","Harv.","","1"
"20515","","Scytanthus","T.Anderson ex Benth.","9093","1"
"9053","","Sebastiano-Schaueria","Nees","","1"
"9054","","Semnostachya","Bremek.","9075","1"
"9055","","Semnothyrsus","Bremek.","9075","1"
"9056","","Sericocalyx","Bremek.","9075","1"
"20981","","Sericographis","Nees","8942","1"
"25011","","Simonisia","Nees","8942","1"
"25192","","Sinthroblastes","Bremek.","9075","1"
"9057","","Siphonoglossa","Oerst.","","1"
"25012","","Solenochasma","Fenzl","8942","1"
"9058","","Solenoruellia","Baill.","8926","1"
"20501","","Sooia","Pocs","8903","1"
"9059","","Spathacanthus","Baill.","","1"
"9060","","Sphacanthus","Benoist","","1"
"9061","","Sphinctacanthus","Benth.","","1"
"9062","","Spirostigma","Nees","","1"
"25193","","Sreemadhavana","Rauschert","8822","1"
"9063","","Standleyacanthus","Leonard","","1"
"9064","","Staurogyne","Wall.","","1"
"25013","","Staurogynopsis","Mangenot & Ake Assi","9064","1"
"9065","","Steirosanchezia","Lindau","9044","1"
"9066","","Stenandriopsis","S.Moore","","1"
"9067","","Stenandrium","Nees","","1"
"25195","","Stenoschista","Bremek.","9037","1"
"9068","","Stenosiphonium","Nees","","1"
"9069","","Stenostephanus","Nees","","1"
"9070","","Stenothyrsus","C.B.Clarke","","1"
"17747","","Stephanophysum","Pohl","9037","1"
"9071","","Stethoma","Raf.","8942","1"
"9072","","Streblacanthus","Kuntze","","1"
"9073","","Streptosiphon","Mildbr.","","1"
"9074","","Strobilacanthus","Griseb.","","1"
"9075","","Strobilanthes","Blume","","1"
"9076","","Strobilanthopsis","S.Moore","","1"
"25014","","Strobilorhachis","Klotzsch","8822","1"
"17369","","Strophacanthus","Lindau","8937","1"
"9077","","Styasasia","S.Moore","","1"
"20504","","Stylarthropus","Baill.","9106","1"
"9078","","Suessenguthia","Merxm.","","1"
"9079","","Sympagis","(Nees) Bremek.","9075","1"
"9080","","Symplectochilus","Lindau","8818","1"
"25015","","Synandra","Schrad.","8822","1"
"17372","","Synchoriste","Baill.","8949","1"
"20495","","Synnema","Benth.","8933","1"
"9081","","Syringidium","Lindau","8920","1"
"24925","","Tabascina","Baill.","8942","1"
"9082","","Tacoanthus","Baill.","","1"
"9083","","Taeniandra","Bremek.","9075","1"
"20540","","Talbotia","S.Moore","8809","1"
"9084","","Tarphochlamys","Bremek.","9075","1"
"9085","","Teliostachya","Nees","","1"
"9086","","Tessmanniacanthus","Mildbr.","","1"
"9087","","Tetraglochidium","Bremek.","9075","1"
"9088","","Tetragoga","Bremek.","9075","1"
"9089","","Tetragompha","Bremek.","9075","1"
"9090","","Tetramerium","Nees","","1"
"25168","","Thalestris","Rizzini","8942","1"
"9091","","Thamnojusticia","Mildbr.","8942","1"
"17371","","Theileamea","Baill.","8862","1"
"9092","","Thelepaepale","Bremek.","9075","1"
"9093","","Thomandersia","Baill.","","1"
"9094","","Thunbergia","Retz.","","1"
"20541","","Thyrsacanthus","Nees","8986","1"
"9095","","Thysanostigma","J.B.Imlay","","1"
"9096","","Tremacanthus","S.Moore","","1"
"9097","","Triaenacanthus","Nees","9075","1"
"9098","","Trichacanthus","Zoll. & Moritzi","8834","1"
"9099","","Trichanthera","Kunth","","1"
"9100","","Trichocalyx","Balf.f.","","1"
"9101","","Trichosanchezia","Mildbr.","","1"
"9102","","Trybliocalyx","Lindau","8860","1"
"25016","","Tubiflora","J.F.Gmel.","8899","1"
"20982","","Tyloglossa","Hochst.","8942","1"
"25169","","Ulleria","Bremek.","9037","1"
"9103","","Vavara","Benoist","","1"
"9104","","Vindasia","Benoist","","1"
"20522","","Volkensiophyton","Lindau","8952","1"
"9105","","Warpuria","Stapf","9014","1"
"9106","","Whitfieldia","Hook.","","1"
"9107","","Xantheranthemum","Lindau","","1"
"9108","","Xanthostachya","Bremek.","9075","1"
"9109","","Xenacanthus","Bremek.","9075","1"
"9110","","Xerothamnella","C.T.White","","1"
"9111","","Yeatesia","Small","","1"
"20492","","Zenkerina","Engl.","9064","1"
"9112","","Zygoruellia","Baill.","","1"
"2398","","Acer","L.","","2"
"2399","","Dipteronia","Oliv.","","2"
"4022","","Acharia","Thunb.","","3"
"4023","","Ceratiosicyos","Nees","","3"
"4024","","Guthriea","Bolus","","3"
"934","","Achatocarpus","Triana","","4"
"935","","Phaulothamnus","A.Gray","","4"
"12429","","Acorus","L.","","5"
"1183","","Actinidia","Lindl.","","6"
"1184","","Clematoclethra","(Franch.) Maxim.","","6"
"1185","","Saurauia","Willd.","","6"
"13498","","Actiniopteris","Link","","7"
"21644","","Adenogramma","Link ex Engl.","13502","8"
"13500","","Adiantopsis","Fee","","8"
"13501","","Adiantum","L.","","8"
"21649","","Aleuritopteris","Fee","13508","8"
"21651","","Allosorus","Bernh.","13508","8"
"13502","","Anogramma","Link","","8"
"21650","","Argyrochosma","(J.Sm.) Windham","13508","8"
"13503","","Aspidotis","(Nutt. ex Hook.) Copel.","","8"
"21629","","Aspleniopsis","Mett. ex Kuhn","13504","8"
"13504","","Austrogramme","E.Fourn.","","8"
"24122","","Bakeropteris","Kuntze","13506","8"
"13505","","Bommeria","E.Fourn.","","8"
"21607","","Botryogramme","Fee","13490","8"
"21630","","Callogramme","Fee","13527","8"
"21642","","Calomelanos","(C.Presl) Lindl.","13522","8"
"13506","","Cassebeera","Kaulf.","","8"
"24120","","Ceratodactylis","J.Sm.","13490","8"
"21641","","Ceropteris","Link","13522","8"
"13507","","Cerosora","(Baker) Domin","","8"
"13508","","Cheilanthes","Sw.","","8"
"13509","","Cheiloplecton","Fee","","8"
"21658","","Cheilosoria","Trevis.","13521","8"
"21664","","Choristosoria","Mett. ex Kuhn","13521","8"
"21652","","Chrysochosma","(J.Sm.) Kummerle","13508","8"
"21653","","Cincinalis","Gled. ex Desv.","13508","8"
"21639","X","Coniodictyogramme","Nakai","13510","8"
"13510","","Coniogramme","Fee","","8"
"21654","","Cosentinia","Tod.","13508","8"
"21631","","Craspedodictyum","Copel.","13527","8"
"13489","","Cryptogramma","R.Br.","","8"
"21640","","Dictyogramme","Fee","13510","8"
"13511","","Doryopteris","J.Sm.","","8"
"21637","","Dyctiogramme","C.Presl","13510","8"
"22235","X","Eriosonia","Pic.Serm.","","8"
"13512","","Eriosorus","Fee","","8"
"21646","","Gymnogramma","Desv.","16718","8"
"16718","","Gymnopteris","Bernh.","","8"
"13513","","Hemionitis","L.","","8"
"21663","","Heteropteris","Fee","13511","8"
"21666","","Hewardia","J.Sm.","13501","8"
"24121","","Holttumia","Copel.","13528","8"
"21633","","Holttumiella","Copel.","13528","8"
"13514","","Jamesonia","Hook. & Grev.","","8"
"25697","","Leptolepidium","K.H.Hsing & S.K.Wu","13508","8"
"21606","","Leptostegia","D.Don","13491","8"
"13490","","Llavea","Lag.","","8"
"13515","","Mildella","Trevis.","","8"
"13516","","Monachosorella","Hayata","22236","8"
"13517","","Monachosorum","Kunze","","8"
"21655","","Myriopteris","Fee","13508","8"
"13518","","Negripteris","Pic.Serm.","","8"
"13519","","Nephopteris","Lellinger","","8"
"21643","","Nesoris","Raf.","13522","8"
"21647","","Neurogramma","Link","16718","8"
"13520","","Neurosoria","Mett. ex Kuhn","13508","8"
"15949","","Notholaena","R.Br.","13508","8"
"21638","","Notogramme","C.Presl","13510","8"
"21656","","Oeosporangium","Vis.","13508","8"
"13491","","Onychium","Kaulf.","","8"
"25702","","Ormopteris","J.Sm.","13521","8"
"21648","","Paraceterach","Copel.","16718","8"
"13521","","Pellaea","Link","","8"
"21659","","Pellaeopsis","J.Sm.","13521","8"
"25703","","Pentagramma","Yatsk., Windham & E.Wollenw.","","8"
"21608","","Phorolobus","Desv.","13489","8"
"13522","","Pityrogramma","Link","","8"
"25728","X","Pityromeria","L.D.Gomez","13522","8"
