"synonym_id","genus_id"
1,387
2,500
3,500
4,500
5,319
6,429
7,429
8,429
9,465
10,465
11,465
12,465
13,465
14,465
15,465
16,465
17,465
18,342
19,342
20,342
21,342
22,342
23,342
24,388
25,388
26,388
27,388
28,388
29,388
30,388
31,388
32,376
33,376
34,376
35,355
36,430
37,356
38,356
39,461
40,461
41,461
42,461
43,311
44,431
45,458
46,362
47,362
48,472
49,472
50,472
51,472
52,377
53,377
54,487
55,434
56,434
57,434
58,421
59,400
60,389
61,401
62,352
63,438
64,438
65,438
66,438
67,381
68,440
69,441
70,442
71,442
72,442
73,466
74,466
75,466
76,466
77,466
78,466
79,483
80,483
81,459
82,459
83,459
84,459
85,459
86,390
87,390
88,390
89,390
90,390
91,390
92,390
93,390
94,390
95,390
96,390
97,390
98,390
99,390
100,390
101,390
102,390
103,390
104,390
105,390
106,390
107,390
108,390
109,390
110,390
111,390
112,390
113,390
114,390
115,390
116,390
117,390
118,390
119,390
120,390
121,390
122,390
123,390
124,390
125,390
126,390
127,390
128,390
129,390
130,390
131,390
132,390
133,390
134,390
135,390
136,390
137,390
138,390
139,390
140,390
141,390
142,390
143,390
144,390
145,390
146,390
147,390
148,390
149,390
150,390
151,390
152,390
153,344
154,502
155,502
156,502
157,502
158,502
159,502
160,484
161,363
162,480
163,494
164,494
165,494
166,100
167,100
168,337
169,444
170,445
171,445
172,464
173,447
174,447
175,448
176,449
177,449
178,449
179,339
180,314
181,462
182,462
183,462
184,462
185,331
186,485
187,485
188,485
189,485
190,460
191,391
192,391
193,391
194,391
195,391
196,391
197,391
198,391
199,391
200,391
201,391
202,391
203,391
204,391
205,391
206,391
207,391
208,391
209,391
210,391
211,391
212,391
213,391
214,391
215,391
216,364
217,370
218,370
219,470
220,474
221,365
222,365
223,365
224,499
225,499
226,499
227,499
228,499
229,499
230,499
231,499
232,499
233,481
234,455
235,455
236,455
237,455
238,455
239,382
240,343
241,343
242,343
243,343
244,343
245,343
246,343
247,343
248,343
249,343
250,343
251,343
252,343
253,343
254,343
255,343
256,343
257,343
258,343
259,343
260,343
261,343
262,343
263,343
264,343
265,343
266,343
267,343
268,343
269,343
270,343
271,343
